id,name,country,water_type,area_sqm,elevation,length_m,lat,lon,os_map,google_sat,compactness,aspect_ratio,area_hectares
36,Loch an Fhuar-Thuill Mhòir,Scotland,,50961,765.8,289,57.45218,-4.93617,https://tarns.netlify.app/?id=36,"https://www.google.com/maps/@?api=1&map_action=map&center=57.45218,-4.93617&zoom=15&basemap=satellite",0.728,1.16,5.1
37,Lochan nan Gabhar,Scotland,,24327,765.2,222,57.11583,-3.4085,https://tarns.netlify.app/?id=37,"https://www.google.com/maps/@?api=1&map_action=map&center=57.11583,-3.4085&zoom=15&basemap=satellite",0.788,1.5,2.43
38,(unnamed),Scotland,lake,9657,764.5,210,58.148,-4.89085,https://tarns.netlify.app/?id=38,"https://www.google.com/maps/@?api=1&map_action=map&center=58.148,-4.89085&zoom=15&basemap=satellite",0.742,3.33,0.97
39,Llyn y Fign,Wales,,5514,764.0,125,52.75933,-3.72556,https://tarns.netlify.app/?id=39,"https://www.google.com/maps/@?api=1&map_action=map&center=52.75933,-3.72556&zoom=15&basemap=satellite",0.684,1.84,0.55
40,Loch an Aonaich Odhar,Scotland,,81272,757.3,569,57.06117,-4.56001,https://tarns.netlify.app/?id=40,"https://www.google.com/maps/@?api=1&map_action=map&center=57.06117,-4.56001&zoom=15&basemap=satellite",0.586,2.28,8.13
41,Lochan nam Bo,Scotland,,17512,754.3,220,57.00005,-3.87575,https://tarns.netlify.app/?id=41,"https://www.google.com/maps/@?api=1&map_action=map&center=57.00005,-3.87575&zoom=15&basemap=satellite",0.658,1.79,1.75
42,Lochan Uaine,Scotland,,7105,752.9,129,57.18363,-5.08549,https://tarns.netlify.app/?id=42,"https://www.google.com/maps/@?api=1&map_action=map&center=57.18363,-5.08549&zoom=15&basemap=satellite",0.741,1.72,0.71
43,Lochan na Craliag,Scotland,,10718,752.3,136,57.19164,-5.15129,https://tarns.netlify.app/?id=43,"https://www.google.com/maps/@?api=1&map_action=map&center=57.19164,-5.15129&zoom=15&basemap=satellite",0.761,1.01,1.07
44,Loch Tuill Bhearnach,Scotland,,91270,750.3,474,57.36154,-5.04624,https://tarns.netlify.app/?id=44,"https://www.google.com/maps/@?api=1&map_action=map&center=57.36154,-5.04624&zoom=15&basemap=satellite",0.679,1.59,9.13
45,Loch an Fhraoich-choire,Scotland,,48384,749.9,357,57.27431,-5.22625,https://tarns.netlify.app/?id=45,"https://www.google.com/maps/@?api=1&map_action=map&center=57.27431,-5.22625&zoom=15&basemap=satellite",0.661,1.73,4.84
46,(unnamed),Scotland,lake,9301,749.9,148,57.80914,-4.91862,https://tarns.netlify.app/?id=46,"https://www.google.com/maps/@?api=1&map_action=map&center=57.80914,-4.91862&zoom=15&basemap=satellite",0.595,1.14,0.93
47,Loch Feith a'Phuill,Scotland,,32173,749.4,289,57.14823,-4.3899,https://tarns.netlify.app/?id=47,"https://www.google.com/maps/@?api=1&map_action=map&center=57.14823,-4.3899&zoom=15&basemap=satellite",0.759,1.97,3.22
48,Loch Vrotachan,Scotland,,94081,747.6,531,56.88984,-3.44188,https://tarns.netlify.app/?id=48,"https://www.google.com/maps/@?api=1&map_action=map&center=56.88984,-3.44188&zoom=15&basemap=satellite",0.657,1.88,9.41
49,(unnamed),Scotland,,5632,746.5,120,57.17377,-5.58443,https://tarns.netlify.app/?id=49,"https://www.google.com/maps/@?api=1&map_action=map&center=57.17377,-5.58443&zoom=15&basemap=satellite",0.738,1.76,0.56
50,Loch a' Chleirich,Scotland,,8828,744.2,256,57.25054,-5.30568,https://tarns.netlify.app/?id=50,"https://www.google.com/maps/@?api=1&map_action=map&center=57.25054,-5.30568&zoom=15&basemap=satellite",0.56,4.17,0.88
51,Lochan Coire an Lochain,Scotland,,52765,741.6,443,56.83138,-4.68348,https://tarns.netlify.app/?id=51,"https://www.google.com/maps/@?api=1&map_action=map&center=56.83138,-4.68348&zoom=15&basemap=satellite",0.606,2.23,5.28
52,(unnamed),Scotland,,6065,738.3,195,56.73045,-5.65447,https://tarns.netlify.app/?id=52,"https://www.google.com/maps/@?api=1&map_action=map&center=56.73045,-5.65447&zoom=15&basemap=satellite",0.533,3.31,0.61
53,Loch a' Choire Bhig,Scotland,,16056,737.8,201,57.35204,-5.058,https://tarns.netlify.app/?id=53,"https://www.google.com/maps/@?api=1&map_action=map&center=57.35204,-5.058&zoom=15&basemap=satellite",0.682,1.08,1.61
